CreatedAt,Followers,Friends,Name,StatusesCount,NumLikes,MarketSize,TeamName,TimeSince,MinsBetweenTweetsLast150,2016Attendper,2015Attendper,2014Attendper,2013Attendper,2015Attendance,2014Attendance,2013Attendance,2016WP,2015WP,2014WP,2013WP,2016Capacity,2016AvgPrice,2015Payroll,PercStadiumFill2016,PercStadiumFill2015,PercStadiumFill2014,PercStadiumFill2013
2009-05-13,317556,717,Tampa Bay Rays,28873,16.6,4.7,Rays,1 days 19:11:03.000000000,17.273666666666667,16243.0,15322.0,17858.0,18646.0,1287054.0,1446464.0,1510300.0,0.462,0.494,0.475,0.5589999999999999,42735.0,21.04,"$64,571,233 ",0.3800865800865801,0.35853515853515855,0.4178776178776179,0.4363168363168363
2009-05-12,370702,577,Washington Nationals,35132,1.0,6.22,Nationals,7 days 16:42:30.000000000,73.88333333333334,26145.0,32344.0,31844.0,32746.0,2619843.0,2579389.0,2652422.0,0.7040000000000001,0.512,0.584,0.531,41418.0,36.59,"$176,496,372 ",0.6312472837896567,0.7809165097300691,0.768844463759718,0.7906224346902313
2009-05-12,381364,613,Minnesota Twins,29525,4.2,4.46,Twins,5 days 17:40:44.000000000,55.071555555555555,23397.0,27408.0,27785.0,30588.0,2220054.0,2250606.0,2477644.0,0.28600000000000003,0.512,0.43200000000000005,0.40700000000000003,39021.0,33.28,"$107,755,000 ",0.5996002152687014,0.7023910202198816,0.7120524845595961,0.7838856000615053
2009-05-12,439427,248,Angels,23978,2.2,7.13,Angels,9 days 13:27:39.000000000,91.78433333333334,37397.0,37195.0,38221.0,37278.0,3012765.0,3095935.0,3019505.0,0.46399999999999997,0.525,0.594,0.48100000000000004,45483.0,32.7,"$131,522,500 ",0.8222192907240068,0.8177780709275994,0.8403359496954906,0.8196029285667172
2009-05-12,447660,48,Baltimore Orioles,23365,2.3,2.82,Orioles,5 days 21:39:43.000000000,56.66477777777778,20307.0,29246.0,30426.0,29106.0,2281202.0,2464473.0,2357561.0,0.5770000000000001,0.5,0.586,0.525,45971.0,29.96,"$112,989,833 ",0.4417350068521459,0.6361836810162929,0.6618520371538579,0.6331382828304801
2009-05-11,530431,1244,New York Mets,40859,28.2,9.6,Mets,3 days 01:36:49.000000000,29.445444444444444,32585.0,31725.0,26528.0,26366.0,2569753.0,2148808.0,2135657.0,0.654,0.557,0.488,0.457,41922.0,26.02,"$98,874,473 ",0.7772768474786508,0.7567625590382139,0.6327942369161776,0.6289299174657698
2009-05-05,475781,1616,Pittsburgh Pirates,45731,2.0,3.03,Pirates,3 days 22:50:10.000000000,37.934444444444445,26684.0,30847.0,30155.0,27862.0,2498596.0,2442564.0,2256862.0,0.536,0.601,0.54,0.5770000000000001,38362.0,29.96,"$104,457,499 ",0.6955841718367134,0.8041030186121683,0.78606433449768,0.7262916427714926
2009-05-05,232552,948,San Diego Padres,24797,9.9,2.72,Padres,2 days 18:34:49.000000000,26.63211111111111,27690.0,30367.0,27103.0,26749.0,2459752.0,2195373.0,2166691.0,0.39299999999999996,0.457,0.475,0.469,42524.0,23.71,"$125,203,700 ",0.6511616969240899,0.7141143824663719,0.637357727400997,0.6290330166494215
2009-04-24,507641,550,Cincinnati Reds,36015,7.0,2.26,Reds,3 days 17:31:05.000000000,35.80722222222222,22005.0,29870.0,30576.0,31151.0,2419506.0,2476664.0,2492101.0,0.39299999999999996,0.395,0.469,0.552,42319.0,22.01,"$111,572,286 ",0.5199792055577873,0.7058295328339517,0.7225123467000638,0.7360996242822373
2009-04-14,278313,5838,Arizona Diamondbacks,64624,17.6,4.73,Diamondbacks,4 days 10:07:33.000000000,42.45033333333333,26503.0,25681.0,25602.0,26357.0,2080145.0,2073730.0,2134895.0,0.414,0.488,0.395,0.5,48633.0,18.53,"$64,434,000 ",0.5449591840931055,0.5280570805831432,0.5264326691752513,0.5419571073139637
2009-04-09,845682,604,Detroit Tigers,25929,11.6,4.73,Tigers,8 days 10:48:38.000000000,81.12422222222222,28290.0,33655.0,36015.0,38067.0,2726048.0,2917209.0,3083397.0,0.5379999999999999,0.46,0.545,0.5670000000000001,41681.0,28.88,"$172,284,750 ",0.6787265180777813,0.8074422398694849,0.864062762409731,0.9132938269235383
2009-04-03,567816,689,#VoteRoyals,28217,10.8,2.38,Royals,5 days 22:41:31.000000000,57.07677777777778,33486.0,33439.0,24154.0,21614.0,2708549.0,1956482.0,1750754.0,0.518,0.596,0.568,0.531,37903.0,26.88,"$121,590,475 ",0.8834656887317627,0.8822256813444846,0.6372582645173205,0.5702450993325067
2009-03-06,946853,4133,Los Angeles Dodgers,48200,14.0,7.13,Dodgers,4 days 09:43:27.000000000,42.28966666666667,46757.0,46479.0,46696.0,46216.0,3764815.0,3782337.0,3743527.0,0.5,0.563,0.5720000000000001,0.564,56000.0,31.9,"$265,140,000 ",0.8349464285714285,0.8299821428571429,0.8338571428571429,0.8252857142857143
2009-02-20,764859,4554,Atlanta Braves,32637,13.2,6.02,Braves,6 days 10:50:41.000000000,61.93788888888889,25516.0,24709.0,29065.0,31465.0,2001392.0,2354305.0,2548679.0,0.259,0.414,0.488,0.584,50096.0,19.38,"$104,037,500 ",0.5093420632385819,0.49323299265410414,0.5801860427978281,0.6280940594059405
2009-01-27,318581,241,Oakland Athletics,25861,4.3,3.2,Athletics,5 days 12:56:22.000000000,53.175777777777775,18380.0,21829.0,24736.0,22337.0,1768175.0,2003628.0,1809302.0,0.44799999999999995,0.42,0.54,0.5870000000000001,55945.0,24.46,"$64,016,001 ",0.32853695593886856,0.3901867905979087,0.4421485387434087,0.39926713736705693
