Index,Tm,2016WP,2015WP,2014WP,2013WP,2016 Capacity,2016AvgPrice,2016Attendper,2015Attendance,2015Attendper,2014Attendance,2014Attendper,2013Attendance,2013Attendper,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,Arizona,0.395,0.333,0,,0.418,0.373,0.5,,,,,,,,,,,,,,,,,
,,17,Atlanta,0.488,0.667,1,,0.518,0.457,0.584,,,,,,,,,,,,,,,,,
,,2,Baltimore,0.586,0,0,,0.612,0.559,0.525,,,,,,,,,,,,,,,,,
,,25,Boston,0.438,0.333,0,,0.42,0.457,0.607,,,,,,,,,,,,,,,,,
,,22,Chi Cubs,0.451,0.667,1,,0.506,0.395,0.407,,,,,,,,,,,,,,,,,
,,23,Chi Sox,0.451,0.333,0,,0.494,0.407,0.389,,,,,,,,,,,,,,,,,
,,21,Cincinnati,0.469,0.667,1,,0.543,0.395,0.552,,,,,,,,,,,,,,,,,
,,12,Cleveland,0.525,0.667,1,,0.593,0.457,0.564,,,,,,,,,,,,,,,,,
,,29,Colorado,0.407,0,0,,0.556,0.259,0.457,,,,,,,,,,,,,,,,,
,,8,Detroit,0.545,0,0,,0.549,0.542,0.567,,,,,,,,,,,,,,,,,
,,26,Houston,0.432,0.333,0,,0.469,0.395,0.315,,,,,,,,,,,,,,,,,
,,5,Kansas City,0.568,0.333,1,,0.545,0.591,0.531,,,,,,,,,,,,,,,,,
,,1,LA Angels,0.594,0,0,,0.626,0.561,0.481,,,,,,,,,,,,,,,,,
,,4,LA Dodgers,0.572,0.333,0,,0.554,0.59,0.564,,,,,,,,,,,,,,,,,
,,18,Miami,0.475,0.333,0,,0.518,0.432,0.383,,,,,,,,,,,,,,,,,
,,15,Milwaukee,0.506,0.333,0,,0.518,0.494,0.457,,,,,,,,,,,,,,,,,
,,27,Minnesota,0.432,0.667,0,,0.432,0.432,0.407,,,,,,,,,,,,,,,,,
,,16,NY Mets,0.488,0.667,1,,0.494,0.481,0.457,,,,,,,,,,,,,,,,,
,,13,NY Yankees,0.518,0.667,1,,0.531,0.506,0.525,,,,,,,,,,,,,,,,,
,,9,Oakland,0.54,0.333,0,,0.593,0.488,0.587,,,,,,,,,,,,,,,,,
,,24,Philadelphia,0.451,0.333,0,,0.457,0.444,0.451,,,,,,,,,,,,,,,,,
,,10,Pittsburgh,0.54,0,0,,0.622,0.457,0.577,,,,,,,,,,,,,,,,,
,,19,San Diego,0.475,0.333,0,,0.593,0.358,0.469,,,,,,,,,,,,,,,,,
,,11,Seattle,0.537,1,1,,0.506,0.568,0.438,,,,,,,,,,,,,,,,,
,,6,SF Giants,0.556,0.667,0,,0.573,0.539,0.469,,,,,,,,,,,,,,,,,
,,7,St. Louis,0.55,0,0,,0.635,0.465,0.592,,,,,,,,,,,,,,,,,
,,20,Tampa Bay,0.475,0.333,0,,0.444,0.506,0.559,,,,,,,,,,,,,,,,,
,,28,Texas,0.414,0.333,0,,0.407,0.42,0.558,,,,,,,,,,,,,,,,,
,,14,Toronto,0.512,0.667,0,,0.568,0.457,0.457,,,,,,,,,,,,,,,,,
,,3,Washington,0.584,0.333,0,,0.615,0.554,,,,,,,,,,,,,,,,,,
